O Portal é fácil de usar.;É fácil localizar os dados e as informações no Portal.;A navegação pelo Portal é intuitiva.;O Portal funciona sem falhas.;As informações são fáceis de entender.;As informações são precisas.;As informações disponibilizadas estão atualizadas.;Consigo obter o que preciso no menor tempo possível.;Qual o seu nível de satisfação com o Portal da Transparência do RS?;Deixe aqui seus comentários, avaliações ou sugestões sobre o Portal da Transparência do RS.;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo totalmente;Satisfeito;;Masculino;36;Ensino Superior;Sim
Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Discordo;Concordo;;Sem comentários.;Masculino;65;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Satisfeito;;Masculino;41;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Insatisfeito;"Atualizações recentes fizeram o portal perder alguns detalhes importantes, como só aparecer a remuneração a partir de 2022, causando indisponibilidade nos dados mais antigos. 
Também, caso escolher, por exemplo, Secretaria X, para saber o cargo de cada pessoa é preciso clicar individualmente, e não ver na lista expressa. Mesmo no modo exportação para excel não aparecem o cargo listado ao lado.";Masculino;35;Ensino Superior;Sim
Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Indiferente;;;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;48;Pós-Graduação;Sim
Concordo;Concordo;Concordo totalmente;Discordo;Concordo;Concordo;Discordo;Concordo;Satisfeito;Atualização das informações mensalmente.;Masculino;36;Pós-Graduação;Sim
Concordo;Discordo;Concordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Insatisfeito;"1) grupos de serviços aglomerados, por que não colocar ""palavras chave""?
2) poucos colocam Termo de referência em anexo;
3) nenhum coloca ETP em anexo;
4) nenhum coloca planilha de custos em anexo, o cidadão só pode saber valor global do contrato, nunca por posto ;
5) deveria ter filtro de ""anexos"" com opções múltiplas: ETP, tr, aditivos, planilha de custos

Atenciosamente,
Douglas Ribeiro";Masculino;38;Ensino Superior;Sim
Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Satisfeito;;Masculino;41;Pós-Graduação;Sim
Concordo;Concordo;Indiferente;Discordo;Concordo;Concordo;;;;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Muito satisfeito;;Masculino;37;Ensino Superior;Sim
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;38;Ensino Superior;Sim
Concordo;Indiferente;Concordo;Indiferente;Indiferente;Discordo;Indiferente;Discordo;Indiferente;Sugestão: colocar o número de cargos existentes para cada secretaria e quais destes são cargos ocupados e vagos.;Feminino;40;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Discordo;Indiferente;Concordo;Concordo;Indiferente;Insatisfeito;Toda hora muda os filtros, ora tem mais, ora tem menos. A filtragem não é simples, a forma como aparece filtrado é bem ruim. Daria para melhorar bastante. O da PMPA é melhor nesse sentido.;Masculino;36;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo totalmente;Concordo;Concordo;Muito insatisfeito;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;67;Curso Técnico;Não
Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;47;Ensino Médio;
Concordo;;;;Não sei;;;Discordo;;;;;;
Concordo;;;;Concordo;;;Concordo;Satisfeito;;;;;
Concordo;;;;Concordo;;Discordo;;;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;25;Ensino Superior;Sim
Concordo;Concordo;Concordo;Concordo;Concordo;;;Concordo;Satisfeito;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Muito satisfeito;;Feminino;62;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;;;;;;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;;;Feminino;40;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Concordo;;;;;;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;50;Ensino Médio;Não
Concordo;Concordo;Concordo;Discordo;Concordo;Concordo totalmente;Indiferente;Concordo totalmente;Satisfeito;;Feminino;33;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Concordo;Concordo;;;;;;;;;
Concordo;Concordo;Concordo;Discordo;;;;;;;;;;
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;;;;;;
Concordo;;;;;;;;Satisfeito;;;;;
Concordo;;;;;;;;;;;;;
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;35;Ensino Superior;Sim
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;;Masculino;36;Pós-Graduação;Sim
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Não sei;Concordo totalmente;Concordo totalmente;Muito satisfeito;Utilizo com frequência o portal da transparência. Sou Gerente Administrativo de uma empresa que participa de licitações, e faço consultas regulares. Tudo muito fácil de usar, muito intuitivo. Somos fornecedores para outros estados também, e utilizo os portais da transparência dos estados de Santa Catarina, Paraná e São Paulo, e entre estes (talvez por estar mais familiarizado por usar com maior frequência) acho o portal do RS o melhor.;Masculino;37;Pós-Graduação;Não
Concordo totalmente;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Masculino;25;Ensino Fundamental II (até a 8ª série/9º ano);Não
Concordo totalmente;Concordo totalmente;Não sei;Não sei;;;;;;;;;;
Concordo totalmente;Concordo;;Concordo;Concordo;;Concordo;;Satisfeito;;Masculino;70;Ensino Médio;Sim
Concordo totalmente;Concordo totalmente;;;;;;;;;;;;
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Muito satisfeito;Acho o portal do EStado, muito mais intuitivo do que o Federal, por exemplo, as informações estão dispostas de modo intuitivo, mais atualizadas que o Federal, as cores que reportam as do Estado dão um charme especial e gosto do layout como um todo;Feminino;31;Pós-Graduação;Sim
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;;Masculino;65;Curso Técnico;Não
Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;Feminino;42;Ensino Superior;Sim
Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;;Masculino;25;Ensino Superior;Sim
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;;Masculino;;Ensino Médio;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Satisfeito;;Feminino;31;Pós-Graduação;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Satisfeito;;Feminino;39;Ensino Superior;Sim
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Satisfeito;;Feminino;26;Curso Técnico;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;o PORTAL DA TRANSPARENCIA DO RS é muito intuitivo, um dos mais acessíveis no país, melhor que o federal;Masculino;51;Curso Técnico;Não
