O Portal é fácil de usar.;É fácil localizar os dados e as informações no Portal.;A navegação pelo Portal é intuitiva.;O Portal funciona sem falhas.;As informações são fáceis de entender.;As informações são precisas.;As informações disponibilizadas estão atualizadas.;Consigo obter o que preciso no menor tempo possível.;Qual o seu nível de satisfação com o Portal da Transparência do RS?;Deixe aqui seus comentários, avaliações ou sugestões sobre o Portal da Transparência do RS.;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?;Media_Respostas;Num_Respostas_Validas
4.0;4.0;4.0;3.0;4.0;4.0;4.0;5.0;;;Masculino;36.0;Ensino Superior;Sim;4.0;8
4.0;4.0;4.0;;4.0;4.0;2.0;4.0;;Sem comentários.;Masculino;65.0;Pós-Graduação;Sim;3.7142857142857144;7
4.0;4.0;4.0;5.0;4.0;5.0;5.0;4.0;;;Masculino;41.0;Pós-Graduação;Sim;4.375;8
4.0;4.0;4.0;2.0;4.0;4.0;4.0;2.0;;"Atualizações recentes fizeram o portal perder alguns detalhes importantes, como só aparecer a remuneração a partir de 2022, causando indisponibilidade nos dados mais antigos. 
Também, caso escolher, por exemplo, Secretaria X, para saber o cargo de cada pessoa é preciso clicar individualmente, e não ver na lista expressa. Mesmo no modo exportação para excel não aparecem o cargo listado ao lado.";Masculino;35.0;Ensino Superior;Sim;3.5;8
4.0;4.0;4.0;4.0;2.0;2.0;3.0;;;;;;;;3.2857142857142856;7
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;48.0;Pós-Graduação;Sim;4.0;8
4.0;4.0;5.0;2.0;4.0;4.0;2.0;4.0;;Atualização das informações mensalmente.;Masculino;36.0;Pós-Graduação;Sim;3.625;8
4.0;2.0;4.0;2.0;3.0;2.0;2.0;2.0;;"1) grupos de serviços aglomerados, por que não colocar ""palavras chave""?
2) poucos colocam Termo de referência em anexo;
3) nenhum coloca ETP em anexo;
4) nenhum coloca planilha de custos em anexo, o cidadão só pode saber valor global do contrato, nunca por posto ;
5) deveria ter filtro de ""anexos"" com opções múltiplas: ETP, tr, aditivos, planilha de custos

Atenciosamente,
Douglas Ribeiro";Masculino;38.0;Ensino Superior;Sim;2.625;8
4.0;5.0;4.0;4.0;4.0;4.0;5.0;5.0;;;Masculino;41.0;Pós-Graduação;Sim;4.375;8
4.0;4.0;3.0;2.0;4.0;4.0;;;;;;;;;3.5;6
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;37.0;Ensino Superior;Sim;4.0;8
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;38.0;Ensino Superior;Sim;4.0;8
4.0;3.0;4.0;3.0;3.0;2.0;3.0;2.0;3.0;Sugestão: colocar o número de cargos existentes para cada secretaria e quais destes são cargos ocupados e vagos.;Feminino;40.0;Pós-Graduação;Sim;3.0;9
4.0;4.0;4.0;2.0;3.0;4.0;4.0;3.0;;Toda hora muda os filtros, ora tem mais, ora tem menos. A filtragem não é simples, a forma como aparece filtrado é bem ruim. Daria para melhorar bastante. O da PMPA é melhor nesse sentido.;Masculino;36.0;Pós-Graduação;Sim;3.5;8
4.0;4.0;4.0;3.0;4.0;5.0;4.0;4.0;;;;;;;4.0;8
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;67.0;Curso Técnico;Não;4.0;8
4.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;;;Masculino;47.0;Ensino Médio;;4.375;8
4.0;;;;;;;2.0;;;;;;;3.0;2
4.0;;;;4.0;;;4.0;;;;;;;4.0;3
4.0;;;;4.0;;2.0;;;;;;;;3.3333333333333335;3
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;25.0;Ensino Superior;Sim;4.0;8
4.0;4.0;4.0;4.0;4.0;;;4.0;;;;;;;4.0;6
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Feminino;62.0;Ensino Superior;Não;4.0;8
4.0;4.0;4.0;4.0;;;;;;;;;;;4.0;4
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Feminino;40.0;Pós-Graduação;Sim;4.0;8
4.0;4.0;4.0;4.0;;;;;;;;;;;4.0;4
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;50.0;Ensino Médio;Não;4.0;8
4.0;4.0;4.0;2.0;4.0;5.0;3.0;5.0;;;Feminino;33.0;Pós-Graduação;Sim;3.875;8
4.0;4.0;4.0;4.0;4.0;;;;;;;;;;4.0;5
4.0;4.0;4.0;2.0;;;;;;;;;;;3.5;4
4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;4.0;8
4.0;;;;;;;;;;;;;;4.0;1
4.0;;;;;;;;;;;;;;4.0;1
5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;35.0;Ensino Superior;Sim;4.375;8
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;;Masculino;36.0;Pós-Graduação;Sim;5.0;8
5.0;5.0;5.0;4.0;5.0;;5.0;5.0;;Utilizo com frequência o portal da transparência. Sou Gerente Administrativo de uma empresa que participa de licitações, e faço consultas regulares. Tudo muito fácil de usar, muito intuitivo. Somos fornecedores para outros estados também, e utilizo os portais da transparência dos estados de Santa Catarina, Paraná e São Paulo, e entre estes (talvez por estar mais familiarizado por usar com maior frequência) acho o portal do RS o melhor.;Masculino;37.0;Pós-Graduação;Não;4.857142857142857;7
5.0;4.0;1.0;4.0;4.0;4.0;4.0;4.0;;;Masculino;25.0;Ensino Fundamental II (até a 8ª série/9º ano);Não;3.75;8
5.0;5.0;;;;;;;;;;;;;5.0;2
5.0;4.0;;4.0;4.0;;4.0;;;;Masculino;70.0;Ensino Médio;Sim;4.2;5
5.0;5.0;;;;;;;;;;;;;5.0;2
5.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;;Acho o portal do EStado, muito mais intuitivo do que o Federal, por exemplo, as informações estão dispostas de modo intuitivo, mais atualizadas que o Federal, as cores que reportam as do Estado dão um charme especial e gosto do layout como um todo;Feminino;31.0;Pós-Graduação;Sim;4.875;8
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;;Masculino;65.0;Curso Técnico;Não;5.0;8
5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;Feminino;42.0;Ensino Superior;Sim;4.125;8
5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;;;Masculino;25.0;Ensino Superior;Sim;4.875;8
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;;Masculino;;Ensino Médio;Não;5.0;8
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;;Feminino;31.0;Pós-Graduação;Não;5.0;8
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;;Feminino;39.0;Ensino Superior;Sim;5.0;8
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;;Feminino;26.0;Curso Técnico;Não;5.0;8
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;o PORTAL DA TRANSPARENCIA DO RS é muito intuitivo, um dos mais acessíveis no país, melhor que o federal;Masculino;51.0;Curso Técnico;Não;5.0;8
5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;;;Masculino;34.0;Pós-Graduação;Não;4.875;8
5.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;;;Masculino;33.0;Ensino Superior;Sim;4.625;8
5.0;5.0;5.0;5.0;;;;;;;;;;;5.0;4
5.0;5.0;5.0;2.0;5.0;4.0;5.0;4.0;;;Masculino;24.0;Curso Técnico;Sim;4.375;8
5.0;4.0;4.0;4.0;;;;;;;;;;;4.25;4
5.0;;;;;;;4.0;;;;;;;4.5;2
2.0;4.0;3.0;4.0;4.0;;4.0;2.0;;;Feminino;25.0;Ensino Médio;Não;3.2857142857142856;7
2.0;4.0;4.0;4.0;;;;;;;;;;;3.5;4
2.0;2.0;3.0;1.0;2.0;4.0;3.0;2.0;3.0;;Masculino;38.0;Curso Técnico;Não;2.4444444444444446;9
2.0;2.0;3.0;2.0;2.0;4.0;4.0;2.0;;;Masculino;54.0;Pós-Graduação;Sim;2.625;8
2.0;2.0;2.0;2.0;4.0;2.0;4.0;3.0;;;Feminino;48.0;Pós-Graduação;Sim;2.625;8
2.0;2.0;2.0;4.0;2.0;4.0;4.0;1.0;;;Masculino;42.0;Pós-Graduação;Sim;2.625;8
2.0;2.0;3.0;2.0;;;;;;;;;;;2.25;4
2.0;2.0;2.0;2.0;;;;;;;;;;;2.0;4
2.0;2.0;1.0;2.0;2.0;3.0;1.0;1.0;;;Feminino;30.0;Ensino Fundamental I (até a 5ª série/5º ano);Não;1.75;8
2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;;Não consegui acessar o salário dos servidores do MP;Feminino;46.0;Ensino Superior;Não;1.75;8
2.0;2.0;2.0;3.0;4.0;;;2.0;;;;;;;2.5;6
2.0;2.0;3.0;5.0;3.0;3.0;5.0;3.0;3.0;"Tive alguma dificuldade para obter dados no portal e ele é bastante lento. A unificação de dados do Executivo, Legislativo e Judiciário é muito bem vinda, não são todos os estados que possuem. Eu utilizei os dados para criar um portal paralelo que vocês podem verificar no link abaixo. Se tiverem interesse posso aprofundar em alguns pontos de melhoria e quem saber ter uma parceria melhor para melhorar o meu também, que busca centralizar dados de todo o Brasil.
https://brasiltransparente.digital/

Podem entrar em contato com: brasiltransparente@pm.me";Masculino;30.0;Ensino Superior;Não;3.2222222222222223;9
1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;;"FALTA DE ClarEZA DO Mapa e respectivamente respostas
";Feminino;53.0;Pós-Graduação;Sim;1.125;8
1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;;;Feminino;44.0;Pós-Graduação;Sim;1.375;8
1.0;1.0;1.0;2.0;1.0;3.0;4.0;1.0;;Muito difícil de acessar. Parece que é de propósito para dificultar que o cidadão consiga ver os absurdos salariais desses governos incompetentes.;Masculino;72.0;Ensino Superior;Sim;1.75;8
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;Feminino;29.0;;Sim;1.0;8
1.0;2.0;1.0;2.0;3.0;4.0;4.0;1.0;;Não é otimizado para aparelhos móveis.;Masculino;18.0;Ensino Médio;Não;2.25;8
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;portal não carrega direito.;Prefiro não responder;18.0;Pós-Graduação;Sim;1.0;8
1.0;1.0;2.0;2.0;4.0;4.0;2.0;2.0;;sugiro que voltem a fazer como antes, no antigo portal - onde tinha a classificação por cidade e não como fizeram agora, tudo junto - virou uma bagunça, um exemplo é o assistente educacional - especialidade: interação com o educando - antes era separado por cidade, dai sabia a informação correta, agora é todos juntos. Separado melhora a informação pública.;Masculino;31.0;Curso Técnico;Sim;2.25;8
3.0;;;;;;;;;;;;;;3.0;1
