O sistema funciona sem falhas.;Os recursos de acessibilidade do sistema são fáceis de encontrar.;O sistema é fácil de usar.;O sistema está disponível para uso em qualquer dia e hora.;O desempenho do sistema é satisfatório, independentemente da forma de acesso.;O sistema informa sobre as políticas de privacidade e segurança.;Acredito que meus dados estão seguros neste sistema.;É fácil localizar os serviços e as informações no sistema.;A navegação pelo sistema é intuitiva.;O sistema oferece instruções úteis de como utilizar os serviços.;As informações são fáceis de entender.;As informações são precisas.;As informações auxiliam na solicitação dos serviços.;Todas as informações necessárias para a solicitação dos serviços são fornecidas.;O prazo de entrega dos serviços é informado.;As taxas cobradas pelos serviços são informadas.;As informações disponibilizadas estão atualizadas.;Os serviços oferecem suporte técnico eficiente.;O atendimento resolve meus problemas.;Os serviços permitem a conclusão das tarefas no menor tempo possível.;Consigo obter o que preciso no menor tempo possível.;Os serviços atendem às minhas expectativas.;Quando preciso de ajuda, minhas dificuldades são resolvidas.;Meus dados são automaticamente identificados na solicitação dos serviços.;Os serviços oferecidos são confiáveis.;Os serviços permitem interações em tempo real (ex. chatbot, IA).;Qual o seu nível de satisfação com o Sistema?;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Concordo;Concordo;Discordo;Concordo totalmente;Concordo;Não sei;Concordo;Concordo;Discordo;Discordo;Concordo;Concordo;Indiferente;Indiferente;Não sei;Não sei;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;39;Pós-Graduação;Sim
Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Concordo;Não sei;Concordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Masculino;36;Pós-Graduação;Sim
Concordo;Discordo;Concordo;Discordo;Discordo;Não sei;Não sei;Discordo;Concordo;Não sei;Concordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Concordo;Indiferente;Concordo;Não sei;Indiferente;Não sei;Indiferente;Feminino;33;Ensino Superior;Sim
Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Discordo totalmente;Discordo;Indiferente;Discordo totalmente;Discordo;Discordo totalmente;Discordo;Discordo;Discordo totalmente;Discordo;Indiferente;Discordo totalmente;Discordo;Indiferente;Indiferente;Discordo totalmente;Indiferente;Discordo;Discordo;Discordo;Indiferente;Indiferente;Muito insatisfeito;Masculino;36;Pós-Graduação;Sim
Discordo;Não sei;Indiferente;Concordo;Discordo;Concordo totalmente;Concordo;Discordo;Discordo;Indiferente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Não sei;Não sei;Concordo;Concordo;Indiferente;Discordo;Discordo;Concordo;Não sei;Não sei;Concordo;Não sei;Indiferente;Feminino;42;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo totalmente;Indiferente;Discordo;Discordo;Discordo;Discordo;Concordo;Indiferente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Discordo;Discordo;Discordo;Indiferente;Discordo;Indiferente;Indiferente;Insatisfeito;Feminino;41;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Não sei;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Satisfeito;Feminino;31;Pós-Graduação;Sim
Concordo totalmente;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Discordo;Satisfeito;Masculino;41;Pós-Graduação;Sim
Concordo totalmente;Concordo;Concordo;Não sei;Concordo;Não sei;Concordo totalmente;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Concordo;Não sei;Não sei;Concordo totalmente;Não sei;Satisfeito;Feminino;29;Pós-Graduação;Sim
Concordo;Discordo;Discordo;Não sei;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Concordo;Não sei;Insatisfeito;Masculino;40;Pós-Graduação;Sim
